hour,failed_attempts,login_duration,protocol,label
15,1,323.72265236369344,HTTPS,0
6,0,120.2175899353269,HTTP,0
10,2,183.1379904551319,HTTPS,0
9,1,129.78332808877076,HTTP,0
15,0,287.13236451032844,HTTPS,0
9,1,249.4887039300509,HTTPS,0
18,3,255.92411785957867,HTTPS,0
16,0,169.11800261712202,HTTP,0
10,1,261.2207195462116,HTTPS,0
16,2,291.32974738165575,HTTPS,0
10,2,220.59541548504117,HTTPS,0
7,1,356.13938273665576,HTTPS,0
8,1,151.72705676001715,HTTP,0
7,1,158.7311104199227,HTTP,0
14,1,188.5672353410397,HTTPS,0
13,1,252.24507168909284,HTTPS,0
8,1,312.158574144421,HTTPS,0
7,0,281.4103657564009,HTTPS,0
12,0,16.548718063764348,DNS,0
5,0,276.38660833343977,HTTPS,0
20,2,354.5246475744705,HTTPS,0
16,1,151.20518803035833,HTTPS,0
8,0,15.24191570076993,DNS,0
10,1,282.74299181538674,HTTPS,0
18,0,154.81669000303032,HTTP,0
9,1,263.26591090555365,HTTPS,0
10,3,88.93712931477415,HTTP,0
14,0,221.68564410571878,HTTPS,0
6,0,53.62820781600905,HTTP,0
13,0,241.6161668694165,HTTPS,0
9,2,313.2190332015088,HTTPS,0
12,2,12.414495008283971,DNS,0
3,33,0.9027479437641293,SSH,1
16,2,133.752247572777,HTTP,0
8,0,261.4143460476107,HTTPS,0
15,0,62.94772013558383,HTTP,0
9,0,252.9300934647402,HTTPS,0
18,2,277.207467594384,HTTPS,0
10,1,334.9468232865474,HTTPS,0
8,0,162.85463929755508,HTTPS,0
17,0,281.4425950078379,HTTPS,0
12,1,227.14862158857946,HTTPS,0
19,1,252.93451553361277,HTTPS,0
16,0,266.86716181407195,HTTPS,0
18,2,120.03867785492675,HTTP,0
8,0,350.74942447249794,HTTPS,0
17,1,18.915570244118868,DNS,0
17,1,261.1827440796059,HTTPS,0
11,1,236.86969341307707,HTTPS,0
5,0,18.4438060321402,DNS,0
18,0,137.77117278965366,HTTP,0
15,3,322.4894101699832,HTTPS,0
